"","lat","lon","elevation","time","t","delta.lat","delta.lon"
"146",39.188178,-96.578906,317.887159455568,2024-02-06 12:30:17,145,-0.00140799999999786,0.000675000000001091
"147",39.188167,-96.578915,317.92987762671,2024-02-06 12:30:18,146,-0.0014189999999985,0.000666000000009603
"148",39.188156,-96.578926,317.969781103544,2024-02-06 12:30:19,147,-0.00142999999999915,0.000655000000008954
"149",39.188147,-96.578939,318.006016125903,2024-02-06 12:30:20,148,-0.00143899999999775,0.000641999999999143
"150",39.188137,-96.578951,318.030364568345,2024-02-06 12:30:21,149,-0.00144900000000092,0.000630000000001019
"151",39.188127,-96.578963,318.058876563795,2024-02-06 12:30:22,150,-0.00145899999999699,0.000618000000002894
"152",39.188118,-96.578973,318.07977309823,2024-02-06 12:30:23,151,-0.00146799999999558,0.00060799999999972
"153",39.188109,-96.578982,318.096167448908,2024-02-06 12:30:24,152,-0.00147700000000128,0.000599000000008232
"154",39.1881,-96.57899,318.102024578489,2024-02-06 12:30:25,153,-0.00148599999999988,0.000591000000000008
"155",39.188092,-96.578997,318.112337226048,2024-02-06 12:30:26,154,-0.00149400000000099,0.000584000000003471
"156",39.188084,-96.579001,318.109765693545,2024-02-06 12:30:27,155,-0.00150199999999501,0.000579999999999359
"157",39.188074,-96.579002,318.100898988545,2024-02-06 12:30:28,156,-0.00151199999999818,0.000579000000001884
"158",39.188065,-96.579001,318.084898563102,2024-02-06 12:30:29,157,-0.00152099999999677,0.000579999999999359
"159",39.188055,-96.578998,318.069497348741,2024-02-06 12:30:30,158,-0.00153099999999995,0.000583000000005995
"160",39.188045,-96.578992,318.048692865297,2024-02-06 12:30:31,159,-0.00154099999999602,0.000589000000005058
"161",39.188034,-96.578986,318.021582297981,2024-02-06 12:30:32,160,-0.00155199999999667,0.00059500000000412
"162",39.188025,-96.578978,317.997059033252,2024-02-06 12:30:33,161,-0.00156099999999526,0.000602999999998133
"163",39.188016,-96.57897,317.973410400562,2024-02-06 12:30:34,162,-0.00157000000000096,0.000611000000006356
"164",39.188008,-96.578961,317.94902604539,2024-02-06 12:30:35,163,-0.00157799999999497,0.000619999999997844
"165",39.187999,-96.578951,317.931681703776,2024-02-06 12:30:36,164,-0.00158700000000067,0.000630000000001019
"166",39.187989,-96.578939,317.914472718723,2024-02-06 12:30:37,165,-0.00159699999999674,0.000641999999999143
"167",39.187979,-96.578927,317.902555355802,2024-02-06 12:30:38,166,-0.00160699999999991,0.000654000000011479
"168",39.187969,-96.578914,317.893653020263,2024-02-06 12:30:39,167,-0.00161699999999598,0.000667000000007079
"169",39.187959,-96.578902,317.896052212454,2024-02-06 12:30:40,168,-0.00162699999999916,0.000679000000005203
"170",39.187949,-96.578889,317.906860826537,2024-02-06 12:30:41,169,-0.00163699999999523,0.000692000000000803
"171",39.187938,-96.578878,317.916699470952,2024-02-06 12:30:42,170,-0.00164799999999587,0.000703000000001452
"172",39.187928,-96.578867,317.931202512234,2024-02-06 12:30:43,171,-0.00165799999999905,0.000714000000002102
"173",39.187919,-96.578856,317.963460524566,2024-02-06 12:30:44,172,-0.00166699999999764,0.000725000000002751
"174",39.187909,-96.578844,317.999210751615,2024-02-06 12:30:45,173,-0.00167700000000082,0.000737000000000876
"175",39.187899,-96.578832,318.037328789942,2024-02-06 12:30:46,174,-0.00168699999999689,0.000748999999999
"176",39.187889,-96.578821,318.072459255345,2024-02-06 12:30:47,175,-0.00169700000000006,0.00075999999999965
"177",39.187879,-96.578812,318.109349686652,2024-02-06 12:30:48,176,-0.00170699999999613,0.000769000000005349
"178",39.187869,-96.578803,318.14463063702,2024-02-06 12:30:49,177,-0.0017169999999993,0.000778000000011048
"179",39.187858,-96.578794,318.170230495743,2024-02-06 12:30:50,178,-0.00172799999999995,0.000787000000002536
"180",39.187846,-96.578785,318.194916791283,2024-02-06 12:30:51,179,-0.00173999999999808,0.000796000000008235
"181",39.187834,-96.578777,318.214513610117,2024-02-06 12:30:52,180,-0.0017519999999962,0.000804000000002247
"182",39.187822,-96.578771,318.224321958609,2024-02-06 12:30:53,181,-0.00176400000000143,0.00081000000000131
"183",39.18781,-96.578767,318.224153198302,2024-02-06 12:30:54,182,-0.00177599999999956,0.000814000000005421
"184",39.187798,-96.578764,318.221158509143,2024-02-06 12:30:55,183,-0.00178799999999768,0.000816999999997847
"185",39.187786,-96.578762,318.206391300075,2024-02-06 12:30:56,184,-0.0017999999999958,0.000819000000007009
"186",39.187774,-96.578761,318.179955268279,2024-02-06 12:30:57,185,-0.00181200000000104,0.000820000000004484
"187",39.187761,-96.57876,318.145507643931,2024-02-06 12:30:58,186,-0.00182499999999663,0.000821000000001959
"188",39.187749,-96.578759,318.10701641161,2024-02-06 12:30:59,187,-0.00183700000000186,0.000821999999999434
"189",39.187738,-96.578758,318.064836462028,2024-02-06 12:31:00,188,-0.00184799999999541,0.00082300000001112
"190",39.187727,-96.578758,318.018469530158,2024-02-06 12:31:01,189,-0.00185899999999606,0.00082300000001112
"191",39.187716,-96.578758,317.975851917639,2024-02-06 12:31:02,190,-0.00186999999999671,0.00082300000001112
"192",39.187706,-96.578757,317.926825616509,2024-02-06 12:31:03,191,-0.00187999999999988,0.000824000000008596
"193",39.187695,-96.578756,317.874051276594,2024-02-06 12:31:04,192,-0.00189100000000053,0.000825000000006071
"194",39.187684,-96.578755,317.815096992068,2024-02-06 12:31:05,193,-0.00190200000000118,0.000826000000003546
"195",39.187673,-96.578754,317.751317267306,2024-02-06 12:31:06,194,-0.00191300000000183,0.000827000000001021
"196",39.187663,-96.578753,317.689054452814,2024-02-06 12:31:07,195,-0.0019229999999979,0.000827999999998497
"197",39.187652,-96.578752,317.621635097079,2024-02-06 12:31:08,196,-0.00193399999999855,0.000829000000010183
"198",39.187641,-96.57875,317.550883502699,2024-02-06 12:31:09,197,-0.0019449999999992,0.000831000000005133
"199",39.187628,-96.578748,317.464773793705,2024-02-06 12:31:10,198,-0.0019580000000019,0.000833000000000084
"200",39.187615,-96.578745,317.378163678572,2024-02-06 12:31:11,199,-0.0019709999999975,0.00083600000000672
"201",39.187603,-96.578743,317.288228668272,2024-02-06 12:31:12,200,-0.00198299999999563,0.000838000000001671
"202",39.187591,-96.578741,317.20039525535,2024-02-06 12:31:13,201,-0.00199500000000086,0.000840000000010832
"203",39.187579,-96.57874,317.109865573235,2024-02-06 12:31:14,202,-0.00200699999999898,0.000841000000008307
"204",39.187568,-96.578738,317.02049994655,2024-02-06 12:31:15,203,-0.00201799999999963,0.000843000000003258
"205",39.187557,-96.578737,316.9279161999,2024-02-06 12:31:16,204,-0.00202900000000028,0.000844000000000733
"206",39.187547,-96.578734,316.841202327982,2024-02-06 12:31:17,205,-0.00203899999999635,0.00084700000000737
"207",39.187536,-96.578732,316.758271690458,2024-02-06 12:31:18,206,-0.002049999999997,0.00084900000000232
"208",39.187526,-96.578729,316.68151459936,2024-02-06 12:31:19,207,-0.00206000000000017,0.000852000000008957
"209",39.187515,-96.578726,316.607835239731,2024-02-06 12:31:20,208,-0.00207100000000082,0.000855000000001382
"210",39.187504,-96.578722,316.544086398557,2024-02-06 12:31:21,209,-0.00208200000000147,0.000859000000005494
"211",39.187493,-96.578719,316.490723415278,2024-02-06 12:31:22,210,-0.00209299999999502,0.00086199999999792
"212",39.187482,-96.578714,316.445348245092,2024-02-06 12:31:23,211,-0.00210399999999566,0.000866999999999507
"213",39.187471,-96.578709,316.421617160551,2024-02-06 12:31:24,212,-0.00211499999999631,0.000872000000001094
"214",39.18746,-96.578704,316.398953407072,2024-02-06 12:31:25,213,-0.00212599999999696,0.000877000000002681
"215",39.187449,-96.578699,316.396452836692,2024-02-06 12:31:26,214,-0.00213699999999761,0.000882000000004268
